noun,avg,var
drug,2.666666667,1.411764706
jewelry,1.388888889,0.3692810458
album,2.055555556,0.9967320261
abstract,1.722222222,0.6830065359
artist,4.722222222,0.2124183007
driver,4.5,0.2647058824
dish,1.666666667,0.7058823529
item,1.777777778,0.7712418301
animal,3.888888889,1.281045752
tent,1.611111111,0.4869281046
maid,4.555555556,0.3790849673
cleaner,4.166666667,0.6176470588
valve,2,1.529411765
flutist,4.611111111,0.3692810458
lunchbox,1.555555556,0.3790849673
cook,4.388888889,0.9575163399
quilt,1.611111111,0.9575163399
illustrator,4.777777778,0.1830065359
fish,3.277777778,0.8006535948
pie,1.5,0.6176470588
song,2.611111111,1.89869281
roadtripper,4.277777778,0.6830065359
cello,2.055555556,1.349673203
cellist,4.666666667,0.3529411765
potter,4.388888889,1.075163399
carpet,1.555555556,0.3790849673
countertop,1.277777778,0.3300653595
van,2.777777778,0.7712418301
pepper,2,1.411764706
poem,2.5,0.9705882353
vegetable,1.944444444,1.232026144
racer,4.666666667,0.2352941176
portraitist,4.666666667,0.5882352941
packaging,1.944444444,1.114379085
dressmaker,4.555555556,0.614379085
wall,1.666666667,0.5882352941
photographer,4.722222222,0.2124183007
blogger,4.444444444,0.614379085
professor,4.555555556,0.4967320261
container,2.222222222,0.8888888889
cloth,1.611111111,0.9575163399
novelist,4.722222222,0.3300653595
tuna,2.222222222,1.124183007
stone,1.833333333,0.7352941176
cardboard,1.555555556,0.7320261438
screw,2.166666667,1.323529412
broadcaster,4.555555556,0.3790849673
turkey,1.444444444,0.4967320261
peddler,4.166666667,1.441176471
potato,1.666666667,0.4705882353
patissier,4.333333333,1.058823529
beard,1.611111111,0.4869281046
mountain,1.666666667,0.5882352941
thread,1.777777778,1.124183007
clarinetist,4.5,0.9705882353
soloist,4.555555556,1.08496732
teacher,4.611111111,0.4869281046
cameraman,4.5,0.6176470588
woman,4,0.7058823529
shirt,1.666666667,0.3529411765
businesswoman,4.722222222,0.3300653595
mason,4.055555556,1.820261438
man,3.944444444,0.6437908497
surface,1.444444444,0.4967320261
meat,1.611111111,0.6045751634
gem,1.444444444,0.3790849673
scribe,3.666666667,2.588235294
jet,3.333333333,0.8235294118
herb,2.166666667,1.088235294
surgeon,4.777777778,0.1830065359
scene,1.611111111,0.4869281046
fillet,1.277777778,0.4477124183
letter,2.111111111,1.281045752
worker,4.277777778,0.5653594771
saleswoman,4.611111111,0.4869281046
code,2.888888889,1.751633987
dancer,4.5,0.2647058824
student,4.222222222,0.6535947712
aircraft,3.333333333,1.176470588
machine,3.5,0.9705882353
board,1.722222222,0.5653594771
building,1.888888889,0.9281045752
narrator,4.5,0.3823529412
toy,2.388888889,1.428104575
comedian,4.666666667,0.2352941176
dough,1.888888889,1.045751634
tractor,3,1.058823529
pastry,1.722222222,0.8006535948
landscape,1.5,0.9705882353
canvas,1.5,0.3823529412
seamster,4.5,0.9705882353
marble,1.444444444,0.7320261438
stubble,1.444444444,0.614379085
hairdresser,4.388888889,1.075163399
material,1.722222222,0.6830065359
script,2.222222222,1.477124183
piano,2.111111111,0.9281045752
painter,4.555555556,0.4967320261
CD,2,0.8235294118
mushroom,2.388888889,0.7222222222
trader,4.611111111,0.3692810458
bike,2.666666667,1.411764706
pianist,4.666666667,0.2352941176
blanket,1.722222222,0.6830065359
truck,3.055555556,1.349673203
bottle,1.722222222,1.035947712
wound,2.055555556,0.7614379085
barber,4.722222222,0.2124183007
concerto,2.333333333,1.294117647
model,4.222222222,0.5359477124
salmon,2.777777778,0.4183006536
upholsterer,4.277777778,1.506535948
glass,2.111111111,0.9281045752
author,4.555555556,0.4967320261
backpacker,4.333333333,0.5882352941
lotion,1.555555556,0.8496732026
traveller,4.5,0.5
vehicle,3.166666667,1.088235294
verse,2,0.7058823529
tailor,4.666666667,0.3529411765
passage,2.055555556,0.8790849673
waiter,4.388888889,0.4869281046
ingredient,2.166666667,0.9705882353
silk,1.5,0.6176470588
mover,4.333333333,0.5882352941
pumpkin,1.833333333,0.8529411765
book,2.166666667,0.9705882353
panel,1.333333333,0.3529411765
duffle,1.5,0.3823529412
report,1.944444444,1.114379085
telemarketer,4.388888889,0.6045751634
carver,4.555555556,0.3790849673
waitress,4.5,0.5
novel,2.333333333,1.294117647
basket,1.777777778,1.006535948
doctor,4.666666667,0.3529411765
line,1.833333333,0.9705882353
baker,4.5,0.7352941176
yarn,1.5,0.3823529412
backpack,2.111111111,0.8104575163
sideburn,1.444444444,0.4967320261
essay,2.166666667,0.9705882353
instrument,2.222222222,0.6535947712
bus,3.166666667,1.205882353
make,1.611111111,0.839869281
businessman,4.611111111,0.4869281046
SUV,3,1.058823529
proposal,2.611111111,1.310457516
section,1.722222222,0.8006535948
sonata,2.222222222,0.8888888889
motorcycle,3.055555556,1.114379085
bag,1.944444444,0.7614379085
choreography,2.277777778,0.9183006536
product,1.722222222,0.5653594771
singer,4.444444444,0.4967320261
routine,2.055555556,0.9967320261
cut,2,0.8235294118
seamstress,4.666666667,0.3529411765
captain,4.611111111,0.3692810458
tank,3.166666667,1.558823529
food,2.055555556,0.8790849673
clay,1.388888889,0.7222222222
steak,1.611111111,0.4869281046
bowl,1.555555556,0.3790849673
pattern,1.444444444,0.3790849673
view,1.611111111,0.4869281046
pizza,1.833333333,0.7352941176
caterer,4.5,0.5
confectioner,4.555555556,0.3790849673
mirror,1.888888889,0.5751633987
journalist,4.611111111,0.3692810458
salesman,4.5,0.5
notetaker,4.555555556,0.3790849673
flute,2.166666667,0.9705882353
tub,1.611111111,0.6045751634
convertible,2.611111111,1.075163399
pot,1.833333333,0.6176470588
sculptor,4.611111111,0.4869281046
ice,2,1.176470588
cake,1.666666667,0.7058823529
aviator,4.777777778,0.1830065359
suitcase,1.611111111,0.839869281
pilot,4.666666667,0.2352941176
clarinet,2.055555556,1.349673203
lake,1.777777778,0.8888888889
janitor,4.555555556,0.4967320261
car,3.111111111,1.163398693
magazine,1.833333333,0.7352941176
jacket,1.666666667,0.4705882353
wood,1.5,0.5
cotton,1.444444444,0.7320261438
chauffeur,4.277777778,0.9183006536
hat,1.555555556,0.614379085
violin,2.222222222,1.124183007
essayist,4.666666667,0.3529411765
poet,4.611111111,0.3692810458
announcer,4.777777778,0.1830065359
wool,1.388888889,0.3692810458
shopkeeper,4.5,0.3823529412
chef,4.611111111,0.3692810458
snack,1.388888889,0.3692810458
cushion,1.5,0.3823529412
clerk,4.277777778,0.5653594771
camper,4.277777778,1.153594771
person,3.888888889,0.5751633987
violinist,4.666666667,0.2352941176
orator,4.611111111,0.3692810458
artisan,4.333333333,0.7058823529
housekeeper,4.388888889,0.4869281046
handle,1.5,0.3823529412
dealer,4.388888889,0.6045751634
bedding,1.611111111,0.839869281
musician,4.388888889,1.075163399
butcher,4.611111111,0.3692810458
crate,1.555555556,0.614379085
actor,4.666666667,0.4705882353
lady,3.888888889,0.5751633987
motorist,4.5,0.7352941176
bread,1.555555556,0.3790849673
fabric,1.333333333,0.4705882353
silverware,1.666666667,0.5882352941
hiker,4.611111111,0.3692810458
floor,1.388888889,0.3692810458
kite,2.555555556,0.8496732026
plane,3.111111111,0.9281045752
busboy,4.277777778,0.5653594771
paper,1.777777778,0.6535947712
jeweler,4.5,0.5
coat,1.722222222,0.6830065359
windshield,1.833333333,1.323529412
window,1.611111111,0.6045751634
knob,1.611111111,0.7222222222
drummer,4.555555556,0.3790849673